prmid,nombre,periodo,comite_parlamentario
802,SERGIO AGUILÓ,2014-2018,Partido Comunista - Izquierda Ciudadana
968,JENNY ALVAREZ,2014-2018,Partido Socialista
923,PEDRO PABLO ALVAREZ-SALAMANCA,2014-2018,Unión Demócrata Independiente
924,OSVALDO ANDRADE,2014-2018,Partido Socialista
969,CLAUDIO ARRIAGADA,2014-2018,Partido Demócrata Cristiano
925,PEPE AUTH,2014-2018,Mixto e Independientes
811,RAMÓN BARROS,2014-2018,Unión Demócrata Independiente
813,GERMÁN BECKER,2014-2018,Renovación Nacional
970,JAIME BELLOLIO,2014-2018,Unión Demócrata Independiente
971,BERNARDO BERGER,2014-2018,Renovación Nacional
972,GABRIEL BORIC,2014-2018,Mixto e Independientes
927,PEDRO BROWNE,2014-2018,Mixto e Independientes
929,CRISTIÁN CAMPOS,2014-2018,Partido Por la Democracia
973,KAROL CARIOLA,2014-2018,Partido Comunista - Izquierda Ciudadana
930,LAUTARO CARMONA,2014-2018,Partido Comunista - Izquierda Ciudadana
974,LORETO CARVAJAL,2014-2018,Partido Por la Democracia
931,JUAN LUIS CASTRO,2014-2018,Partido Socialista
819,GUILLERMO CERONI,2014-2018,Partido Por la Democracia
934,FUAD CHAHIN,2014-2018,Partido Demócrata Cristiano
977,MARCELO CHÁVEZ,2014-2018,Partido Demócrata Cristiano
975,DANIELLA CICARDINI,2014-2018,Partido Socialista
976,JUAN ANTONIO COLOMA,2014-2018,Unión Demócrata Independiente
933,ALDO CORNEJO,2014-2018,Partido Demócrata Cristiano
978,FELIPE DE MUSSY,2014-2018,Unión Demócrata Independiente
935,ROJO EDWARDS,2014-2018,Mixto e Independientes
979,SERGIO ESPEJO,2014-2018,Partido Demócrata Cristiano
836,MARCOS ESPINOSA,2014-2018,Partido Radical Social Demócrata
837,FIDEL ESPINOZA,2014-2018,Partido Socialista
980,DANIEL FARCAS,2014-2018,Partido Por la Democracia
839,RAMÓN FARÍAS,2014-2018,Partido Por la Democracia
981,MAYA FERNÁNDEZ,2014-2018,Partido Socialista
982,IVÁN FLORES,2014-2018,Partido Demócrata Cristiano
983,IVÁN FUENTES,2014-2018,Partido Demócrata Cristiano
984,GONZALO FUENZALIDA,2014-2018,Renovación Nacional
985,SERGIO GAHONA,2014-2018,Unión Demócrata Independiente
843,RENÉ MANUEL GARCÍA,2014-2018,Renovación Nacional
936,CRISTINA GIRARDI,2014-2018,Partido Por la Democracia
846,JOAQUÍN GODOY,2014-2018,Mixto e Independientes
848,RODRIGO GONZÁLEZ,2014-2018,Partido Por la Democracia
937,HUGO GUTIÉRREZ,2014-2018,Partido Comunista - Izquierda Ciudadana
