boletin,fecha,materia,articulo,sesion,tramite,quorum,resultado,SERGIO AGUIL?,JENNY ALVAREZ,PEDRO PABLO ALVAREZ-SALAMANCA,OSVALDO ANDRADE,CLAUDIO ARRIAGADA,PEPE AUTH,RAM?N BARROS,GERM?N BECKER,JAIME BELLOLIO,BERNARDO BERGER,GABRIEL BORIC,PEDRO BROWNE,CRISTI?N CAMPOS,KAROL CARIOLA,LAUTARO CARMONA,LORETO CARVAJAL,JUAN LUIS CASTRO,GUILLERMO CERONI,FUAD CHAHIN,MARCELO CH?VEZ,DANIELLA CICARDINI,JUAN ANTONIO COLOMA,ALDO CORNEJO,FELIPE DE MUSSY,ROJO EDWARDS,SERGIO ESPEJO,MARCOS ESPINOSA,FIDEL ESPINOZA,DANIEL FARCAS,RAM?N FAR?AS,MAYA FERN?NDEZ,IV?N FLORES,IV?N FUENTES,GONZALO FUENZALIDA,SERGIO GAHONA,REN? MANUEL GARC?A,CRISTINA GIRARDI,JOAQU?N GODOY,RODRIGO GONZ?LEZ,HUGO GUTI?RREZ,ROMILIO GUTI?RREZ,GUSTAVO HASB?N,JAVIER HERN?NDEZ,MARCELA HERNANDO,MAR?A JOS? HOFFMANN,MIGUEL ?NGEL ALVARADO,GIORGIO JACKSON,ENRIQUE JARAMILLO,CARLOS ABEL JARPA,TUCAPEL JIM?NEZ,JOS? ANTONIO KAST,FELIPE KAST,ISSA KORT,JOAQU?N LAV?N,LUIS LEMUS,ROBERTO LE?N,FELIPE LETELIER,PABLO LORENZINI,JAVIER MACAYA,ROSAURO MART?NEZ,PATRICIO MELERO,DANIEL MELO,FERNANDO MEZA,VLADO MIROSEVIC,ANDREA MOLINA,CRISTI?N MONCKEBERG,NICOL?S MONCKEBERG,MANUEL MONSALVE,CELSO MORALES,JUAN ENRIQUE MORANO,CLAUDIA NOGUEIRA,IV?N NORAMBUENA,DANIEL N??EZ,MARCO ANTONIO N??EZ,PAULINA N??EZ,SERGIO OJEDA,JOS? MIGUEL ORTIZ,CLEMIRA PACHECO,DENISE PASCAL,DIEGO PAULSEN,JOS? P?REZ,LEOPOLDO P?REZ,JAIME PILOWSKY,ROBERTO POBLETE,YASNA PROVOSTE,JORGE RATHGEB,RICARDO RINC?N,GASPAR RIVAS,ALBERTO ROBLES,LUIS ROCAFULL,KARLA RUBILAR,JORGE SABAG,MARCELA SABAT,REN? SAFFIRIO,RA?L SALD?VAR,DAVID SANDOVAL,ALEJANDRO SANTANA,MARCELO SCHILLING,ALEJANDRA SEP?LVEDA,GABRIEL SILBER,ERNESTO SILVA,LEONARDO SOTO,ARTURO SQUELLA,JORGE TARUD,GUILLERMO TEILLIER,V?CTOR TORRES,RENZO TRISOTTI,JOAQU?N TUMA,MARISOL TURRES,JORGE ULLOA,CHRISTIAN UR?ZAR,IGNACIO URRUTIA,OSVALDO URRUTIA,CAMILA VALLEJO,PATRICIO VALLESP?N,ENRIQUE VAN RYSSELBERGHE,MARIO VENEGAS,GERM?N VERDUGO,MAT?AS WALKER,FELIPE WARD
11544-06,21 de dic de 2017 12:36 hrs.,"Declara feriado el d?a 16 de enero de 2018 en la Regi?n Metropolitana, con motivo de la visita del Papa Francisco",,106,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,0,0,0,-10,10,-5,0,10,10,10,0,-5,10,10,10,10,10,0,10,10,10,10,0,0,0,0,10,10,10,0,0,10,10,10,0,0,0,0,-5,10,0,0,10,10,0,-10,-10,10,10,-5,10,0,0,0,10,0,10,-5,0,0,10,0,10,-10,0,10,10,0,0,10,10,10,10,0,10,10,10,0,10,0,0,10,10,10,10,10,10,10,-10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,-5,10,10,0,-5,0,10,10,10,10
11329-04,20 de dic de 2017 13:59 hrs.,Sobre Universidades del Estado,"tercero transitorio, en los t?rminos aprobados por la Comisi?n de Educaci?n.",105,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,10,10,10,10,10,10,10,10,-10,10,10,10,10,10,0,10,0,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,-10,10,10,10,0,0,10,10,10,10,10,10,10,0,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10
11329-04,20 de dic de 2017 13:57 hrs.,Sobre Universidades del Estado,57 que pasar?a a ser 58 con la modificaci?n propuesta por la Comisi?n de Hacienda.,105,PRIMER TR?MITE / PRIMER INFORME,QUORUM CALIFICADO,APROBADO,-10,10,10,10,-10,10,10,10,10,10,-10,10,10,-10,-10,-10,0,10,0,-10,-10,10,0,10,10,10,-5,-10,10,10,0,-5,-5,10,10,0,-10,10,-5,-10,10,10,10,-5,0,10,-10,-10,-5,10,0,0,10,10,-5,10,-5,10,10,0,10,-10,-10,0,10,10,10,0,10,10,10,10,-10,10,10,-5,10,-10,-10,10,-10,10,-5,-10,-5,10,-5,-10,-5,-10,10,10,10,-10,-10,10,10,10,-10,10,10,-5,10,-10,-10,-10,10,10,10,10,-5,10,10,0,-5,10,10,10,10,10
11329-04,20 de dic de 2017 13:57 hrs.,Sobre Universidades del Estado,"art?culos 53, 54, 55 y 56 que pasar?an a ser 54, 55, 56 y 57 contenidos en el p?rrafo 2? del t?tulo IV, en los t?rminos aprobados por la Comisi?n de Educaci?n.",105,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,-5,10,10,10,-5,-5,-5,-5,-10,-5,10,10,10,10,0,10,0,10,10,-5,0,-5,0,10,10,10,10,10,0,10,10,-5,-5,0,10,-5,10,10,-5,-5,-5,10,0,10,-10,10,10,10,0,0,-5,-5,10,10,10,10,-5,0,-5,10,10,0,-5,-5,-5,0,-5,10,-5,-5,10,10,-5,10,10,10,10,-5,10,-5,10,10,10,-5,10,10,10,10,-5,10,-5,10,10,-5,-5,10,10,10,-5,10,-5,10,10,10,-5,10,-5,-5,10,-5,-5,0,10,-5,10,-5,10,-5
11329-04,20 de dic de 2017 13:56 hrs.,Sobre Universidades del Estado,"nuevo art?culo 53, incorporado por la Comisi?n de Hacienda.",105,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,RECHAZADO,-10,-10,-5,10,-10,10,-5,-5,-5,-5,-10,-5,-5,-10,-10,-10,0,10,0,-10,-10,-5,0,-5,0,10,-10,-10,10,10,0,-10,-10,10,-5,0,-10,-5,10,-10,-5,-5,-5,-10,0,-10,-10,-10,-10,10,0,0,-5,-5,-5,-10,-5,10,-5,0,-5,0,-10,0,-5,10,-5,0,-5,-10,-5,-5,-10,-10,-5,-10,-10,-10,-10,-5,-10,10,10,-10,-10,-5,-10,-10,-10,-10,-5,10,10,-10,-10,-5,10,10,-10,-10,-5,-5,-5,-10,-10,-10,-5,10,-5,-5,-10,-5,-5,0,-10,-5,10,-5,10,-5
11329-04,20 de dic de 2017 13:55 hrs.,Sobre Universidades del Estado,52 con la modificaci?n propuesta por la Comisi?n de Hacienda.,105,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,-10,-10,10,10,-10,10,10,10,10,10,-10,10,10,-10,-10,-10,0,10,0,-10,-10,10,0,10,0,10,-10,-10,10,-5,0,10,-10,10,10,0,-10,10,-10,-10,10,10,10,-10,0,-10,-10,10,-10,-10,0,0,10,10,-5,-10,-5,10,10,0,10,0,-10,0,10,10,10,0,10,-10,10,10,-10,-10,10,-10,10,-10,-10,10,-10,10,-10,-10,-10,10,-10,-10,-10,-10,10,10,10,-10,-10,10,10,10,-10,-10,10,-10,10,-10,-10,-10,10,10,10,10,-5,10,10,0,-5,10,10,10,10,10
11329-04,20 de dic de 2017 13:55 hrs.,Sobre Universidades del Estado,"49, en los t?rminos aprobados por la Comisi?n de Educaci?n.",105,PRIMER TR?MITE / PRIMER INFORME,LEY ORGANICA CONSTITUCIONAL,APROBADO,10,10,10,10,10,10,10,10,10,10,-5,10,10,10,10,10,0,10,0,10,10,10,0,10,0,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,-5,10,10,10,0,0,10,10,10,10,10,10,10,0,10,0,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10
11329-04,20 de dic de 2017 13:54 hrs.,Sobre Universidades del Estado,"39, en los t?rminos aprobados por la Comisi?n de Educaci?n.",105,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,0,10,0,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,10,10,10,10,10,10,10,0,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10
11329-04,20 de dic de 2017 13:54 hrs.,Sobre Universidades del Estado,"numeral 4) del art?culo 37, en los t?rminos aprobados por la Comisi?n de Educaci?n.",105,PRIMER TR?MITE / PRIMER INFORME,LEY ORGANICA CONSTITUCIONAL,APROBADO,10,10,10,10,10,10,10,10,10,10,-10,10,10,10,10,10,0,10,0,10,10,0,0,10,0,10,10,10,10,10,0,10,10,10,10,0,-10,10,10,10,10,10,10,10,0,10,-10,10,10,10,0,0,10,10,10,10,10,10,10,0,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,10,-5,10,10,10,10,10,10,10,10,-10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10
11329-04,20 de dic de 2017 13:53 hrs.,Sobre Universidades del Estado,"numeral 3) del art?culo 37, en los t?rminos aprobados por la Comisi?n de Educaci?n.",105,PRIMER TR?MITE / PRIMER INFORME,LEY ORGANICA CONSTITUCIONAL,APROBADO,10,10,10,10,10,10,10,10,10,10,-10,10,10,10,10,10,0,10,0,10,10,0,0,10,0,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,-10,10,10,10,0,0,10,10,10,10,10,10,10,0,10,10,10,0,10,10,10,0,10,-5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10
11329-04,20 de dic de 2017 13:52 hrs.,Sobre Universidades del Estado,36 con la modificaci?n propuesta por la Comisi?n de Hacienda.,105,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,-10,10,10,10,-10,10,10,10,10,10,-10,10,10,-10,-10,-10,0,10,0,-10,-10,0,0,10,0,10,-10,-10,10,-5,0,-10,-10,10,10,0,-10,10,10,-10,10,10,10,10,0,10,-10,10,-10,-10,0,0,10,10,-5,-10,-5,10,10,0,10,-10,-10,0,10,10,10,0,10,-5,10,10,-10,10,10,-10,10,-10,-10,10,-10,10,10,-10,-10,10,-10,-10,-10,-10,10,10,10,-10,-10,10,10,10,-10,-10,10,-10,10,-10,-10,-10,10,10,10,10,-5,10,10,0,-10,10,10,10,10,10
11329-04,20 de dic de 2017 13:52 hrs.,Sobre Universidades del Estado,"inciso segundo del art?culo 32, en los t?rminos aprobados por la Comisi?n de Educaci?n.",105,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,RECHAZADO,-10,-10,-10,-10,-10,10,-10,-10,-10,-10,-10,-10,10,10,-10,10,0,10,0,10,10,0,0,-10,0,-10,-10,-10,10,-10,0,10,10,10,-10,0,10,-10,10,10,-10,-10,-10,10,0,10,10,10,10,-10,0,0,-10,-10,-5,10,10,10,-10,0,-10,10,-10,0,-10,-10,-10,0,-10,10,-10,-10,10,10,-10,10,10,10,-10,-10,-10,-10,-10,10,10,-10,10,10,10,10,-10,10,-10,10,-10,-10,-10,-10,-5,10,-10,10,-10,10,10,10,-10,10,-10,-10,10,-10,-10,0,10,-10,10,-10,10,-10
11329-04,20 de dic de 2017 13:51 hrs.,Sobre Universidades del Estado,"inciso primero del art?culo 18, en los t?rminos aprobados por la Comisi?n de Educaci?n.",105,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,10,10,10,10,10,10,10,10,-10,10,10,10,10,10,0,10,0,10,10,0,0,10,0,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,-10,10,10,10,0,0,10,10,10,10,10,10,10,0,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10
